millis,raw_data_hex
3727,55 08 00 04 05 02 0f 4f 18 55
3889,55 16 00 04 01 02 47 32 34 56
4079,55 08 00 03 04 0c 03 1b c9 55
4187,55 0a 00 04 03 05 01 00 ff 1d
4386,55 0b 00 04 03 06 00 00 80 3f
4485,55 0a 00 04 03 07 01 01 01 9c
4954,55 0a 00 04 03 05 01 01 01 9d
5053,55 0a 00 04 03 05 01 01 01 9d
5252,55 0a 00 04 03 07 01 01 03 1d
5748,55 0a 00 04 03 07 01 01 02 dc
7237,55 0a 00 04 03 07 01 01 03 1d
8229,55 0a 00 04 03 07 01 01 02 dc
8726,55 0b 00 04 03 06 00 00 20 41
11703,55 0a 00 04 03 07 01 01 01 9c
12199,55 0a 00 04 03 07 01 01 02 dc
13688,55 0b 00 04 03 06 00 00 28 42
17658,55 0a 00 04 03 07 01 01 03 1d
18651,55 0b 00 04 03 06 00 00 00 40
20636,55 0a 00 04 03 07 01 01 02 dc
21629,55 0a 00 04 03 07 01 01 01 9c
22622,55 0a 00 04 03 07 01 01 03 1d
23614,55 0b 00 04 03 06 00 00 80 3f
24111,55 0a 00 04 03 07 01 01 02 dc
24706,55 0a 00 04 03 07 01 01 01 9c
25103,55 0a 00 04 03 07 01 01 03 1d
27089,55 0a 00 04 03 07 01 01 02 dc
28081,55 0a 00 04 03 07 01 01 03 1d
28578,55 0b 00 04 03 06 00 00 b6 42
30067,55 0a 00 04 03 07 01 01 02 dc
31556,55 0a 00 04 03 07 01 01 03 1d
33640,55 0b 00 04 03 06 00 00 00 40
36024,55 0a 00 04 03 07 01 01 02 dc
38009,55 0a 00 04 03 07 01 01 03 1d
38605,55 0b 00 04 03 06 00 00 80 3f
39002,55 0a 00 04 03 07 01 01 02 dc
39995,55 0a 00 04 03 07 01 01 03 1d
43469,55 0b 00 04 03 06 00 00 80 3f
43966,55 0a 00 04 03 07 01 01 02 dc
45555,55 0a 00 04 03 07 01 01 03 1d
48534,55 0b 00 04 03 06 00 00 20 41
48633,55 0a 00 04 03 07 01 01 02 dc
48931,55 0a 00 04 03 07 01 01 01 9c
49427,55 0a 00 04 03 07 01 01 03 1d
50917,55 0a 00 04 03 07 01 01 02 dc
51909,55 0a 00 04 03 07 01 01 03 1d
53399,55 0b 00 04 03 06 00 00 00 40
56477,55 0a 00 04 03 07 01 01 02 dc
57370,55 0a 00 04 03 07 01 01 03 1d
